model,feateng,fold,train_f1,test_f1,train_acc,test_acc
LSTM,Word2Vec,1,0.3978204232367218,0.4039654701268216,0.6825625573169134,0.6890052356020943
LSTM,Word2Vec,2,0.39363319409775627,0.40281828825809757,0.6788942748591642,0.680628272251309
LSTM,Word2Vec,3,0.40018893559141117,0.4112454872741309,0.6831281110820016,0.6886792452830188
LSTM,Word2Vec,4,0.3952600923137781,0.37739033311240394,0.6791983232905423,0.6677148846960168
LSTM,Word2Vec,5,0.40295509536496255,0.406781911582861,0.6849620120513492,0.6792452830188679
LSTM,Word2Vec,6,0.4009674677123936,0.42118863049095606,0.675399528425465,0.6907756813417191
LSTM,Word2Vec,7,0.4267803923177838,0.41439379180466257,0.691118679591302,0.6813417190775681
LSTM,Word2Vec,8,0.40464797310177536,0.3744871513287942,0.6833900969347655,0.660377358490566
LSTM,Word2Vec,9,0.4085971408466334,0.40056502932717347,0.6843070474194394,0.6813417190775681
LSTM,Glove,1,0.8117774686084026,0.6398909596977821,0.8695139525743483,0.7518324607329843
LSTM,Glove,2,0.8358776766643308,0.6732090901212099,0.8830079916153544,0.743455497382199
LSTM,Glove,3,0.8156196150448519,0.6410487713465426,0.8729368614094839,0.7348008385744235
LSTM,Glove,4,0.8225621629154238,0.6067518958409779,0.872150903851192,0.6918238993710691
LSTM,Glove,5,0.835053979705024,0.6531004757481816,0.8865601257532093,0.7410901467505241
LSTM,Glove,6,0.805496084090786,0.658982041654352,0.8466072832067069,0.7306079664570231
LSTM,Glove,7,0.8298851589898136,0.6288879669229108,0.8813204086979303,0.7190775681341719
LSTM,Glove,8,0.7978292961370635,0.673845873233014,0.8602305475504323,0.7672955974842768
LSTM,Glove,9,0.8289738742974385,0.6422155587925275,0.8794865077285826,0.7526205450733753
LSTM,RobertaBase,1,0.6548410884124705,0.3296082287181073,0.7692912354251278,0.518324607329843
LSTM,RobertaBase,2,0.6502785336561449,0.33561869257004756,0.768636184986244,0.5780104712041885
LSTM,RobertaBase,3,0.6352405632876743,0.3151820592580436,0.7566151427822898,0.550314465408805
LSTM,RobertaBase,4,0.6089973300036426,0.36395449672780966,0.7397170552790149,0.5880503144654088
LSTM,RobertaBase,5,0.6322821364627546,0.32151939888869374,0.7511134398742468,0.5366876310272537
LSTM,RobertaBase,6,0.6725000752851881,0.34133247741327616,0.7597589730154571,0.4968553459119497
LSTM,RobertaBase,7,0.5254018570988896,0.3279964224223248,0.7076237883154309,0.5859538784067087
LSTM,RobertaBase,8,0.6656371928620185,0.30859078640579635,0.770893371757925,0.5251572327044025
LSTM,RobertaBase,9,0.6077921831264638,0.3083103010419778,0.7584490437516375,0.5744234800838575
